link_num,string,link,date,date_sent,clicks,Value Only
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/4273#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/4505#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/2544#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/nonprofit/262
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/4445#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/3106#tab-what
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/opportunity/4508
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
18,Volunteer Triangle Walk End ALS,https://activategood.org/opportunity/3106#tab-what,04/03/19,04/03/19 13:45:34,9,https://activategood.org/improve-your-health-by-volunteering/
19,Sound Alarm,https://activategood.org/opportunity/4508,04/03/19,04/03/19 13:45:34,3,https://activategood.org/nvw2019
19,Sound Alarm,https://activategood.org/opportunity/4508,04/03/19,04/03/19 13:45:34,3,https://activategood.org/teenschangetheworld2019/
19,Sound Alarm,https://activategood.org/opportunity/4508,04/03/19,04/03/19 13:45:34,3,https://activategood.org/teenschangetheworld2019/support/
19,Sound Alarm,https://activategood.org/opportunity/4508,04/03/19,04/03/19 13:45:34,3,https://activategood.org/opportunity/614#tab-what
